date,year,n1,n2,n3,n4,n5,n6,div1_prize,div1_winners,url
29/11/2003,2003,2,3,4,14,44,46,"4,711,145",2,https://lottery.hk/en/mark-six/results/2003-11-29
2/12/2003,2003,8,12,18,23,41,48,"5,000,000",1,https://lottery.hk/en/mark-six/results/2003-12-02
4/12/2003,2003,2,3,8,19,25,39,"5,000,000",1,https://lottery.hk/en/mark-six/results/2003-12-04
9/12/2003,2003,10,15,20,31,35,48,0,0,https://lottery.hk/en/mark-six/results/2003-12-09
11/12/2003,2003,1,14,19,22,31,35,"3,421,150",3,https://lottery.hk/en/mark-six/results/2003-12-11
13/12/2003,2003,6,13,22,29,33,42,0,0,https://lottery.hk/en/mark-six/results/2003-12-13
16/12/2003,2003,11,13,33,36,37,48,"9,854,855",1,https://lottery.hk/en/mark-six/results/2003-12-16
18/12/2003,2003,23,24,31,33,42,44,"5,000,000",1,https://lottery.hk/en/mark-six/results/2003-12-18
23/12/2003,2003,5,17,19,34,42,48,"41,657,375",1,https://lottery.hk/en/mark-six/results/2003-12-23
30/12/2003,2003,1,22,36,38,39,47,0,0,https://lottery.hk/en/mark-six/results/2003-12-30
3/1/2004,2004,3,31,33,36,39,49,"10,817,455",1,https://lottery.hk/en/mark-six/results/2004-01-03
6/1/2004,2004,7,14,17,22,29,43,"5,000,000",1,https://lottery.hk/en/mark-six/results/2004-01-06
8/1/2004,2004,14,26,33,39,40,43,0,0,https://lottery.hk/en/mark-six/results/2004-01-08
13/1/2004,2004,30,34,39,43,48,49,0,0,https://lottery.hk/en/mark-six/results/2004-01-13
15/1/2004,2004,8,9,13,31,40,48,"8,783,245",2,https://lottery.hk/en/mark-six/results/2004-01-15
17/1/2004,2004,3,5,19,26,32,49,0,0,https://lottery.hk/en/mark-six/results/2004-01-17
20/1/2004,2004,5,6,9,28,31,32,"27,111,420",2,https://lottery.hk/en/mark-six/results/2004-01-20
27/1/2004,2004,10,13,18,29,40,41,0,0,https://lottery.hk/en/mark-six/results/2004-01-27
29/1/2004,2004,21,22,24,27,31,42,"11,714,825",1,https://lottery.hk/en/mark-six/results/2004-01-29
31/1/2004,2004,1,29,30,32,41,46,0,0,https://lottery.hk/en/mark-six/results/2004-01-31
3/2/2004,2004,4,10,43,45,46,48,"11,080,580",1,https://lottery.hk/en/mark-six/results/2004-02-03
5/2/2004,2004,12,22,29,35,43,48,"5,000,000",1,https://lottery.hk/en/mark-six/results/2004-02-05
10/2/2004,2004,20,22,32,37,39,44,"5,638,790",1,https://lottery.hk/en/mark-six/results/2004-02-10
12/2/2004,2004,9,17,21,22,31,32,0,0,https://lottery.hk/en/mark-six/results/2004-02-12
14/2/2004,2004,4,13,15,28,45,49,0,0,https://lottery.hk/en/mark-six/results/2004-02-14
17/2/2004,2004,7,15,20,28,38,41,0,0,https://lottery.hk/en/mark-six/results/2004-02-17
19/2/2004,2004,3,6,9,14,26,40,"12,880,880",2,https://lottery.hk/en/mark-six/results/2004-02-19
21/2/2004,2004,7,22,24,25,40,41,0,0,https://lottery.hk/en/mark-six/results/2004-02-21
24/2/2004,2004,2,3,4,8,16,18,"1,264,590",5,https://lottery.hk/en/mark-six/results/2004-02-24
26/2/2004,2004,1,9,14,39,45,48,0,0,https://lottery.hk/en/mark-six/results/2004-02-26
2/3/2004,2004,8,20,33,36,46,49,"10,803,540",1,https://lottery.hk/en/mark-six/results/2004-03-02
